Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.1%,,68888,Finland,31,,36747,"$164,256,207,675",8.2%,"$2,572",,0.3%,0.7,4.1%,82,75,0.9,1,17.7%,66.8%,15.5%,5213014,82.6%,Europe,"$2,676,000,000","$2,954,000,000",12/1/2003
1.3%,,387591,France,41,,265879,"$1,792,215,124,154",10.8%,"$3,137",,0.4%,0.4,6.6%,83,76,0.7,1,18.6%,65.1%,16.3%,62242474,76.6%,Europe,"$45,990,000,000","$32,618,000,000",12/1/2003
0.9%,,833406,Germany,45,,338070,"$2,423,814,898,420",10.9%,"$3,206",,0.4%,0.6,,81,76,0.8,1,14.8%,67.3%,17.9%,82534176,73.2%,Europe,"$30,104,000,000","$73,203,000,000",12/1/2003
1.0%,,95738,Greece,38,,29141,"$192,850,270,290",8.9%,"$1,579",,0.6%,0.2,6.8%,81,77,0.8,1,14.6%,67.4%,18.0%,11018324,73.7%,Europe,"$10,842,000,000","$2,439,000,000",12/1/2003
0.9%,,59072,Hungary,52,,26136,"$83,538,373,061",8.6%,$706,,0.8%,0.2,9.6%,77,68,0.8,1,16.0%,68.5%,15.5%,10129552,65.5%,Europe,"$4,119,000,000","$2,700,000,000",12/1/2003
1.4%,,2167,Iceland,,,3273,"$10,969,898,924",10.6%,"$4,020",,0.3%,0.8,12.0%,83,80,1.0,1,22.5%,65.8%,11.7%,289521,92.8%,Europe,"$486,000,000","$524,000,000",12/1/2003
1.5%,,43337,Ireland,18,,14061,"$158,730,360,073",7.3%,"$2,918",,0.5%,0.3,2.8%,81,76,0.9,1,20.8%,68.1%,11.1%,3996521,59.9%,Europe,"$5,206,000,000","$4,832,000,000",12/1/2003
,,,Isle of Man,,,,"$2,264,911,807",,,,,,,,,,1,,,,79001,51.9%,Europe,,,12/1/2003
0.9%,,468349,Italy,23,,179423,"$1,514,503,536,381",8.2%,"$2,157",,0.4%,0.3,5.8%,83,77,1.0,1,14.2%,66.7%,19.2%,57313203,67.5%,Europe,"$32,591,000,000","$23,731,000,000",12/1/2003
1.8%,,,Kosovo,,,1994,"$3,355,083,117",,,,,,,71,66,,1,,,,1703466,,Europe,,,12/1/2003
0.9%,,7088,Latvia,16,,4324,"$11,186,452,601",6.2%,$295,,1.2%,0.3,5.4%,77,66,0.5,1,15.8%,67.9%,16.3%,2287955,67.8%,Europe,"$271,000,000","$365,000,000",12/1/2003
1.0%,,,Liechtenstein,,,,"$3,070,803,431",,,,,0.6,,82,78,0.7,1,,,,34141,14.9%,Europe,,,12/1/2003
0.9%,,12915,Lithuania,26,,9253,"$18,608,709,857",6.5%,$351,,0.9%,0.3,5.8%,78,67,0.6,1,18.0%,67.3%,14.7%,3415213,66.7%,Europe,"$700,000,000","$476,000,000",12/1/2003
1.2%,,9905,Luxembourg,,,3843,"$29,144,582,393",7.7%,"$4,984",,0.3%,0.5,,81,75,1.2,1,18.9%,66.8%,14.4%,451630,85.7%,Europe,"$3,149,000,000","$2,445,000,000",12/1/2003
1.2%,,11309,"Macedonia, FYR",48,,2776,"$4,756,221,629",9.3%,$212,,1.3%,0.2,16.0%,76,71,0.4,1,20.8%,68.4%,10.8%,2080866,57.9%,Europe,"$86,000,000","$71,000,000",12/1/2003
1.0%,,2582,Malta,,,826,"$5,119,621,569",8.2%,"$1,074",,0.6%,0.3,5.9%,81,76,0.7,1,18.5%,69.1%,12.3%,398582,93.2%,Europe,"$869,000,000","$238,000,000",12/1/2003
1.2%,,4290,Moldova,42,,3360,"$1,980,901,554",8.3%,$46,,2.1%,0.1,19.3%,72,64,0.1,1,20.8%,68.3%,10.8%,3612874,45.5%,Europe,"$79,000,000","$118,000,000",12/1/2003
,,,Monaco,,,,"$3,588,988,601",3.9%,"$4,216",,0.4%,0.5,,,,0.5,1,,,,32968,100.0%,Europe,,,12/1/2003
1.3%,,,Montenegro,,,,"$1,707,662,608",9.1%,$254,,1.1%,,,76,71,,1,20.5%,67.0%,12.5%,613448,61.6%,Europe,,,12/1/2003
1.2%,,175041,Netherlands,9,,78010,"$538,312,641,084",9.8%,"$3,249",,0.5%,0.6,3.0%,81,76,0.8,1,18.6%,67.6%,13.8%,16225302,80.3%,Europe,"$14,603,000,000","$15,887,000,000",12/1/2003
1.2%,,42625,Norway,18,,27020,"$224,880,794,328",10.6%,"$5,220",,0.4%,0.8,4.7%,82,77,0.9,1,19.9%,65.3%,14.8%,4564855,77.2%,Europe,"$2,989,000,000","$7,089,000,000",12/1/2003
0.9%,,304856,Poland,31,,91105,"$216,800,888,642",6.2%,$354,,0.7%,0.2,7.3%,79,71,0.5,1,17.4%,69.6%,13.0%,38204570,61.7%,Europe,"$4,733,000,000","$3,286,000,000",12/1/2003
1.1%,,61276,Portugal,78,,25129,"$161,931,941,309",9.7%,"$1,514",,0.4%,0.3,,81,74,1.0,1,15.8%,67.4%,16.8%,10458821,56.3%,Europe,"$7,634,000,000","$2,982,000,000",12/1/2003
1.0%,,95940,Romania,29,,39525,"$59,466,017,706",5.3%,$146,,2.1%,0.1,25.4%,75,68,0.3,1,16.6%,69.1%,14.3%,21574326,52.9%,Europe,"$523,000,000","$572,000,000",12/1/2003
1.0%,,1604973,Russian Federation,43,,645323,"$430,347,770,733",5.6%,$167,,1.7%,0.1,13.0%,72,59,0.2,1,16.2%,70.5%,13.4%,144667468,73.4%,Europe,"$5,879,000,000","$13,427,000,000",12/1/2003
,,,San Marino,,,,"$1,122,981,525",5.1%,"$2,837",,0.4%,0.5,7.5%,85,78,0.6,1,,,,28700,94.0%,Europe,,,12/1/2003
1.1%,,,Serbia,56,,16635,"$19,550,781,969",8.8%,$171,,0.9%,,15.5%,75,70,,1,18.9%,67.4%,13.7%,7480591,54.0%,Europe,"$159,000,000","$144,000,000",12/1/2003
1.0%,,39494,Slovak Republic,103,,18639,"$45,837,416,479",5.8%,$360,,0.9%,0.4,8.5%,78,70,0.7,1,17.9%,70.6%,11.6%,5373374,55.9%,Europe,"$876,000,000","$662,000,000",12/1/2003
0.9%,,15500,Slovenia,60,,6912,"$29,152,072,068",8.6%,"$1,263",,0.4%,0.3,10.8%,81,73,0.9,1,14.7%,70.3%,15.0%,1995733,50.7%,Europe,"$1,427,000,000","$805,000,000",12/1/2003
1.0%,,321097,Spain,114,,133196,"$883,839,729,120",8.2%,"$1,730",,0.5%,0.4,,83,76,0.9,1,14.5%,68.7%,16.9%,42187645,76.8%,Europe,"$43,863,000,000","$11,330,000,000",12/1/2003
1.1%,,54781,Sweden,16,,50618,"$314,713,404,153",9.3%,"$3,277",,0.3%,0.8,4.8%,82,78,1.0,1,17.9%,64.9%,17.2%,8958229,84.2%,Europe,"$6,548,000,000","$9,375,000,000",12/1/2003
1.0%,,40205,Switzerland,20,,25996,"$334,574,926,429",10.9%,"$5,002",,0.4%,0.7,3.3%,83,78,0.8,1,16.8%,67.6%,15.6%,7339001,73.4%,Europe,"$10,493,000,000","$8,614,000,000",12/1/2003
2.0%,,218509,Turkey,38,,77833,"$303,005,303,082",5.3%,$232,,2.9%,0.1,,75,68,0.4,1,29.3%,64.3%,6.4%,65938265,66.6%,Europe,"$13,203,000,000","$2,113,000,000",12/1/2003
0.9%,,352259,Ukraine,40,,144641,"$50,132,953,288",6.9%,$73,,1.4%,0.0,17.9%,74,63,0.1,1,15.6%,69.3%,15.0%,47812950,67.4%,Europe,"$1,204,000,000","$953,000,000",12/1/2003
1.2%,,540640,United Kingdom,13,,222080,"$1,875,141,224,490",7.8%,"$2,444",,0.5%,0.6,3.7%,81,76,0.9,1,18.3%,65.8%,15.9%,59647577,79.3%,Europe,"$30,736,000,000","$58,627,000,000",12/1/2003
2.0%,,16468,Bahrain,,,6752,"$11,075,116,594",3.7%,$536,,1.0%,0.2,8.3%,76,74,0.6,1,29.4%,68.3%,2.3%,772058,88.4%,Middle East,"$1,206,000,000","$492,000,000",12/1/2003
1.8%,,418859,"Iran, Islamic Rep.",29,,142649,"$135,409,681,532",4.7%,$97,,2.4%,0.1,,72,70,0.1,1,28.9%,66.4%,4.7%,68543171,66.2%,Middle East,"$1,266,000,000","$4,120,000,000",12/1/2003
3.5%,,91118,Iraq,,,27086,,4.4%,$16,,3.4%,0.0,,73,68,0.0,1,42.2%,54.3%,3.5%,25959531,68.7%,Middle East,,,12/1/2003
2.2%,,65122,Israel,20,,19730,"$118,673,283,415",7.7%,"$1,364",,0.5%,0.2,10.6%,82,78,1.0,1,28.0%,62.0%,10.0%,6689700,91.4%,Middle East,"$2,473,000,000","$3,341,000,000",12/1/2003
3.0%,,17470,Jordan,79,,5176,"$10,193,023,726",9.2%,$187,,2.2%,0.1,9.3%,74,71,0.3,1,38.7%,58.2%,3.1%,5164000,80.6%,Middle East,"$1,266,000,000","$503,000,000",12/1/2003
2.2%,,61657,Kuwait,35,,22001,"$47,875,837,662",3.2%,$728,,1.0%,0.2,5.4%,75,73,0.7,1,25.6%,71.0%,3.4%,2116353,98.2%,Middle East,"$328,000,000","$3,750,000,000",12/1/2003
1.6%,,18221,Lebanon,46,,5220,"$20,082,918,740",9.3%,$498,,1.4%,0.1,13.4%,78,74,0.2,1,28.4%,64.3%,7.3%,3690110,86.3%,Middle East,"$6,782,000,000","$3,319,000,000",12/1/2003
2.2%,,32391,Oman,35,,9350,"$21,542,262,852",3.2%,$294,,1.2%,0.1,8.2%,76,72,0.2,1,36.4%,61.2%,2.5%,2389121,71.5%,Middle East,"$546,000,000","$804,000,000",12/1/2003
1.7%,,36157,Qatar,,,14185,"$23,533,790,531",4.1%,"$1,476",,1.0%,0.2,,78,76,0.6,1,26.9%,71.6%,1.5%,660238,96.9%,Middle East,"$369,000,000","$471,000,000",12/1/2003
2.4%,,327272,Saudi Arabia,74,,121382,"$214,572,800,000",4.0%,$384,,1.8%,0.1,,75,72,0.3,1,35.9%,60.8%,3.3%,22852333,80.5%,Middle East,"$3,418,000,000","$4,165,000,000",12/1/2003
2.8%,,54286,Syrian Arab Republic,43,,16543,"$21,828,144,686",5.1%,$60,,1.8%,0.0,7.5%,76,72,0.1,1,39.6%,57.0%,3.4%,17298476,53.0%,Middle East,"$877,000,000","$734,000,000",12/1/2003
1.6%,,106842,United Arab Emirates,19,,40190,"$124,346,361,619",2.6%,$968,,0.9%,0.3,,76,74,0.9,1,23.4%,75.6%,1.0%,3369254,81.5%,Middle East,"$1,438,000,000","$3,956,000,000",12/1/2003
3.7%,,17305,"Yemen, Rep.",72,,5667,"$11,777,768,087",5.0%,$35,,6.1%,0.0,18.0%,63,60,0.0,1,47.0%,50.3%,2.7%,19081306,27.8%,Middle East,"$139,000,000","$134,000,000",12/1/2003
,,,American Samoa,,,,,,,,,,,,,0.0,1,,,,59117,88.3%,Oceania,,,12/1/2003
1.3%,,346476,Australia,3,,110814,"$466,663,366,337",8.3%,"$2,323",,0.5%,,8.4%,83,78,0.7,1,20.2%,67.1%,12.7%,19895400,87.7%,Oceania,"$16,647,000,000","$10,135,000,000",12/1/2003
2.4%,,862,Fiji,45,,,"$2,315,935,753",3.4%,$95,,2.0%,0.1,7.6%,71,66,0.1,1,32.4%,63.8%,3.8%,817224,49.1%,Oceania,"$496,000,000","$88,000,000",12/1/2003
1.9%,,799,French Polynesia,,,,,,,,,0.1,,76,71,0.2,1,29.4%,65.9%,4.6%,248536,56.0%,Oceania,"$651,000,000","$335,000,000",12/1/2003
2.0%,,,Guam,,,,,,,,,0.3,,79,74,0.5,1,30.0%,64.0%,6.0%,157823,93.4%,Oceania,,,12/1/2003
2.6%,,40,Kiribati,21,,,"$90,148,518",9.6%,$103,,5.1%,0.0,,69,63,0.0,1,38.3%,58.2%,3.5%,87371,43.5%,Oceania,,,12/1/2003
,,84,Marshall Islands,17,,,"$126,887,585",17.3%,$411,,3.3%,0.0,,,,0.0,1,,,,52115,69.3%,Oceania,"$4,000,000","$300,000",12/1/2003
2.8%,,147,"Micronesia, Fed. Sts.",16,,,"$244,990,984",9.5%,$218,,3.9%,0.1,15.0%,68,67,0.1,1,39.3%,56.8%,3.9%,106816,22.3%,Oceania,"$17,000,000","$6,000,000",12/1/2003
1.8%,,2750,New Caledonia,,,,,,,,,0.3,,79,72,0.4,1,27.8%,65.9%,6.3%,225735,62.9%,Oceania,"$196,000,000","$128,000,000",12/1/2003
1.4%,,33938,New Zealand,12,,16847,"$87,440,435,752",7.9%,"$1,602",,0.6%,0.6,7.0%,81,77,0.6,1,22.1%,66.1%,11.9%,4027200,86.0%,Oceania,"$4,232,000,000","$1,649,000,000",12/1/2003
3.4%,,3968,Papua New Guinea,51,,,"$3,536,459,120",4.1%,$25,,5.7%,0.0,13.4%,62,58,0.0,1,40.1%,57.3%,2.6%,5803302,13.1%,Oceania,"$4,900,000","$52,000,000",12/1/2003
3.0%,,150,Samoa,42,,,"$301,905,953",5.1%,$93,,1.7%,0.0,11.3%,74,67,0.1,1,40.1%,55.2%,4.7%,177677,21.7%,Oceania,"$54,000,000",,12/1/2003
3.5%,,180,Solomon Islands,56,,,"$332,736,307",6.0%,$45,,2.9%,0.0,14.7%,66,63,0.0,1,41.5%,55.6%,2.9%,446335,17.0%,Oceania,"$1,600,000","$6,400,000",12/1/2003
2.9%,,176,Tonga,32,,,"$208,098,552",5.1%,$106,,1.4%,0.0,11.3%,74,69,0.1,1,38.2%,55.9%,6.0%,99691,23.1%,Oceania,"$10,300,000","$13,200,000",12/1/2003
3.1%,,81,Vanuatu,39,,,"$314,463,144",3.7%,$58,,1.8%,0.0,5.9%,71,67,0.0,1,40.4%,56.4%,3.2%,198952,22.5%,Oceania,"$83,000,000","$14,000,000",12/1/2003
1.9%,,389,Antigua and Barbuda,,,,"$849,234,754",4.4%,$457,,1.2%,0.2,12.8%,77,72,0.6,1,28.8%,64.0%,7.1%,80904,30.5%,The Americas,"$300,000,000","$35,000,000",12/1/2003
1.8%,,133127,Argentina,66,,59047,"$156,988,741,752",8.2%,$280,,1.7%,0.1,19.1%,78,71,0.2,1,27.0%,62.9%,10.1%,37970411,89.7%,The Americas,"$2,306,000,000","$2,997,000,000",12/1/2003
1.3%,,2255,Aruba,,,,"$2,021,301,676",,,,,0.2,11.5%,76,72,0.7,1,22.1%,69.8%,8.1%,97015,45.6%,The Americas,"$858,000,000","$213,000,000",12/1/2003
1.6%,,1518,"Bahamas, The",,,,"$6,949,317,000",5.6%,"$1,237",,1.3%,0.2,6.0%,76,70,0.4,1,27.1%,67.0%,5.9%,315624,82.2%,The Americas,"$1,770,000,000","$404,000,000",12/1/2003
1.3%,,1269,Barbados,,,,"$3,271,200,000",7.1%,$702,,1.5%,0.4,8.5%,76,71,0.5,1,21.1%,67.7%,11.2%,270844,33.3%,The Americas,"$767,000,000","$153,000,000",12/1/2003
2.8%,,374,Belize,,,,"$990,350,000",4.5%,$174,,1.9%,,14.3%,75,68,0.2,1,38.8%,57.0%,4.2%,258346,46.9%,The Americas,"$150,000,000","$50,000,000",12/1/2003
1.3%,,510,Bermuda,,,,"$4,186,525,000",,,,,0.6,,81,76,0.6,1,,,,63325,100.0%,The Americas,"$348,000,000","$248,000,000",12/1/2003
3.0%,,14129,Bolivia,60,,3688,"$8,082,396,526",5.6%,$50,,4.9%,0.0,17.7%,66,62,0.1,1,39.0%,56.7%,4.3%,9016787,63.3%,The Americas,"$243,000,000","$197,000,000",12/1/2003
1.9%,,321622,Brazil,152,,198976,"$552,469,288,268",7.0%,$214,,2.4%,0.1,67.1%,75,67,0.3,1,28.3%,65.8%,5.9%,181752951,82.2%,The Americas,"$2,673,000,000","$2,874,000,000",12/1/2003
1.1%,,553185,Canada,3,,262038,"$887,751,766,469",9.8%,"$2,680",,0.5%,0.6,4.7%,82,77,0.4,1,18.3%,68.9%,12.9%,31676000,80.0%,The Americas,"$12,236,000,000","$16,309,000,000",12/1/2003
,,480,Cayman Islands,,,,,,,,,,,,,0.5,1,,,,46032,100.0%,The Americas,"$518,000,000",,12/1/2003
1.6%,,55078,Chile,27,,25833,"$77,840,186,385",7.1%,$338,,0.8%,0.3,6.2%,81,75,0.5,1,26.1%,66.2%,7.7%,15995658,86.9%,The Americas,"$1,309,000,000","$1,109,000,000",12/1/2003
2.2%,,57422,Colombia,60,,25736,"$94,684,582,573",5.9%,$134,,2.0%,0.1,15.2%,76,68,0.1,1,31.6%,63.5%,4.9%,41872051,73.0%,The Americas,"$1,191,000,000","$1,349,000,000",12/1/2003
1.8%,,6626,Costa Rica,77,,3297,"$17,517,536,016",8.1%,$343,,0.9%,0.2,25.6%,81,76,0.2,1,29.3%,65.0%,5.7%,4171145,63.1%,The Americas,"$1,424,000,000","$434,000,000",12/1/2003
1.2%,,25486,Cuba,,,11662,"$35,901,500,000",6.3%,$202,,0.6%,0.1,,79,75,0.0,1,20.4%,69.1%,10.5%,11245926,75.9%,The Americas,"$1,999,000,000",,12/1/2003
,,,Curacao,,,,,,,,,,,,,,1,22.5%,66.0%,11.4%,131253,90.8%,The Americas,"$223,000,000","$176,000,000",12/1/2003
,,114,Dominica,,,,"$340,803,913",4.9%,$240,,1.3%,0.2,11.5%,,,0.3,1,,,,70058,66.0%,The Americas,"$52,000,000","$9,000,000",12/1/2003
2.4%,,21888,Dominican Republic,77,,7479,"$21,268,012,747",6.5%,$143,,3.1%,0.1,31.4%,74,68,0.2,1,33.8%,60.7%,5.5%,9071318,64.6%,The Americas,"$3,128,000,000","$408,000,000",12/1/2003
2.4%,,26523,Ecuador,92,,9712,"$32,432,859,000",6.7%,$164,,2.6%,0.0,13.6%,77,71,0.2,1,33.4%,61.2%,5.4%,13279806,61.3%,The Americas,"$408,000,000","$500,000,000",12/1/2003
2.2%,,6553,El Salvador,115,,4418,"$15,046,700,000",7.3%,$182,,2.3%,0.0,,75,66,0.2,1,36.9%,57.2%,5.9%,6029366,60.6%,The Americas,"$664,000,000","$311,000,000",12/1/2003
1.6%,,532,Greenland,,,,"$1,426,452,030",,,,,0.5,,71,66,0.5,1,,,,56765,82.3%,The Americas,,,12/1/2003
1.9%,,216,Grenada,,,,"$596,339,089",6.2%,$359,,1.3%,0.2,12.0%,73,69,0.4,1,31.9%,60.3%,7.7%,102369,36.0%,The Americas,"$104,000,000","$8,000,000",12/1/2003
3.5%,,10502,Guatemala,39,,7436,"$21,917,565,500",6.4%,$116,,3.6%,0.0,15.0%,73,66,0.2,1,43.6%,52.2%,4.2%,12062835,46.3%,The Americas,"$646,000,000","$373,000,000",12/1/2003
2.2%,,1566,Guyana,,,,"$741,929,343",5.6%,$55,,3.7%,,15.0%,68,61,0.2,1,36.0%,59.9%,4.1%,753612,28.4%,The Americas,"$28,000,000","$30,000,000",12/1/2003
3.0%,,1734,Haiti,202,,2218,"$2,826,481,072",5.3%,$17,,6.9%,0.0,44.2%,60,57,0.0,1,38.9%,57.0%,4.1%,8996229,40.6%,The Americas,"$96,000,000","$202,000,000",12/1/2003
3.0%,,6769,Honduras,62,,3647,"$8,140,294,080",8.3%,$103,,2.8%,0.0,20.8%,74,69,0.1,1,40.9%,55.0%,4.1%,6628171,47.2%,The Americas,"$372,000,000","$274,000,000",12/1/2003
1.7%,,10722,Jamaica,31,,3728,"$9,430,236,065",4.6%,$162,,1.9%,0.1,18.9%,74,68,0.6,1,31.8%,60.6%,7.6%,2624695,52.4%,The Americas,"$1,621,000,000","$269,000,000",12/1/2003
2.3%,,405633,Mexico,58,,153665,"$713,284,260,880",5.8%,$397,,1.8%,0.1,7.0%,78,73,0.3,1,33.0%,61.8%,5.1%,108056312,75.7%,The Americas,"$10,058,000,000","$7,252,000,000",12/1/2003
2.6%,,4411,Nicaragua,46,,2758,"$5,322,437,648",6.1%,$61,,2.9%,0.0,15.5%,74,68,0.1,1,39.1%,57.0%,3.9%,5317878,55.5%,The Americas,"$160,000,000","$139,000,000",12/1/2003
2.3%,,6153,Panama,18,,2649,"$12,933,200,000",7.6%,$303,,2.0%,0.1,9.9%,78,73,0.2,1,31.3%,62.9%,5.8%,3240805,63.1%,The Americas,"$804,000,000","$267,000,000",12/1/2003
2.7%,,4070,Paraguay,74,,3965,"$6,588,103,836",6.1%,$71,,2.5%,0.0,50.0%,73,69,0.3,1,36.8%,58.6%,4.6%,5682350,56.9%,The Americas,"$81,000,000","$115,000,000",12/1/2003
2.3%,,26380,Peru,98,,11638,"$57,840,001,637",4.5%,$102,,2.5%,0.1,21.0%,74,69,0.1,1,32.8%,62.0%,5.2%,27073334,74.2%,The Americas,"$1,023,000,000","$847,000,000",12/1/2003
1.3%,,,Puerto Rico,7,,,"$75,833,996,000",,,,,0.2,,82,74,0.5,1,22.7%,65.4%,11.8%,3826095,94.2%,The Americas,"$2,677,000,000","$1,420,000,000",12/1/2003
,,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,33791,100.0%,The Americas,"$538,000,000","$144,000,000",12/1/2003
,,220,St. Kitts and Nevis,,,,"$461,576,906",3.7%,$359,,1.2%,0.2,12.2%,,,0.5,1,,,,47679,32.3%,The Americas,"$75,000,000","$8,000,000",12/1/2003
1.8%,,359,St. Lucia,,,,"$781,338,353",6.2%,$299,,1.5%,0.2,15.0%,74,70,0.6,1,30.0%,62.8%,7.2%,161766,25.2%,The Americas,"$282,000,000","$36,000,000",12/1/2003
1.7%,,,St. Martin (French part),,,,,,,,,,,81,74,,1,,,,27363,,The Americas,,,12/1/2003
1.9%,,194,St. Vincent and the Grenadines,,,,"$482,397,041",3.9%,$174,,1.9%,0.1,11.8%,73,69,0.6,1,29.6%,63.2%,7.2%,108353,46.3%,The Americas,"$91,000,000","$13,000,000",12/1/2003
2.1%,,2241,Suriname,,,,"$1,271,196,078",6.6%,$173,,2.8%,0.0,21.0%,72,65,0.3,1,30.1%,63.9%,5.9%,486867,66.7%,The Americas,"$18,000,000","$68,000,000",12/1/2003
1.5%,,27697,Trinidad and Tobago,,,13541,"$11,235,960,523",5.1%,$449,,2.5%,0.3,11.2%,73,65,0.3,1,23.0%,70.1%,6.9%,1283868,10.2%,The Americas,"$437,000,000","$143,000,000",12/1/2003
,,103,Turks and Caicos Islands,,,,,,,,,,,,,,1,,,,23412,86.6%,The Americas,,,12/1/2003
1.4%,,5681664,United States,6,,2261151,"$11,512,200,000,000",15.6%,"$5,993",,0.7%,0.6,4.1%,80,75,0.5,1,20.9%,66.9%,12.3%,290107933,79.6%,The Americas,"$101,535,000,000","$82,091,000,000",12/1/2003
1.6%,,4598,Uruguay,45,,2523,"$12,045,627,411",9.7%,$351,,1.3%,0.2,58.9%,79,72,0.2,1,24.2%,62.5%,13.4%,3325411,92.8%,The Americas,"$419,000,000","$236,000,000",12/1/2003
2.3%,,192103,"Venezuela, RB",141,,52881,"$83,622,191,419",5.9%,$190,,1.7%,0.1,25.2%,76,70,0.3,1,32.2%,63.0%,4.8%,25797219,88.5%,The Americas,"$378,000,000","$1,311,000,000",12/1/2003
1.4%,,,Virgin Islands (U.S.),,,,,,,,,0.3,,81,75,0.5,1,23.8%,66.6%,9.6%,108085,93.3%,The Americas,"$1,257,000,000",,12/1/2003
2.0%,,89493,Algeria,25,,30974,"$85,324,997,370",3.5%,$90,,3.0%,0.0,8.0%,71,68,0.1,1,29.7%,66.0%,4.3%,33461345,63.1%,Africa,"$178,000,000","$341,000,000",12/1/2004
5.0%,,18793,Angola,119,,9676,"$19,640,862,550",5.1%,$63,,12.3%,0.0,82.3%,49,47,0.0,1,47.7%,49.8%,2.5%,15976715,35.4%,Africa,"$82,000,000","$86,000,000",12/1/2004
4.1%,,2512,Benin,31,,2491,"$4,050,869,968",4.6%,$23,,7.8%,0.0,,58,55,0.1,1,44.7%,52.5%,2.8%,7922796,39.6%,Africa,"$121,000,000","$59,000,000",12/1/2004
2.6%,,4378,Botswana,107,,1857,"$8,957,491,785",4.9%,$268,,4.6%,0.0,15.8%,48,47,0.3,1,36.2%,60.7%,3.2%,1854739,54.8%,Africa,"$582,000,000","$280,000,000",12/1/2004
4.5%,,1104,Burkina Faso,40,,,"$4,838,551,014",6.1%,$24,,8.9%,0.0,,53,51,0.0,1,46.6%,50.8%,2.6%,13034258,20.8%,Africa,"$52,000,000","$67,000,000",12/1/2004
4.3%,,198,Burundi,13,,,"$915,257,323",9.7%,$9,,7.9%,0.0,18.3%,51,48,0.0,1,46.1%,51.2%,2.8%,7510771,9.1%,Africa,"$1,800,000","$29,000,000",12/1/2004
4.1%,,3957,Cameroon,45,,6959,"$15,775,356,737",4.6%,$41,,8.1%,0.0,18.0%,53,51,0.1,1,44.5%,52.2%,3.3%,17674960,47.9%,Africa,"$212,000,000","$394,000,000",12/1/2004
3.8%,,213,Central African Republic,22,,,"$1,270,080,228",4.1%,$14,,11.1%,0.0,18.0%,46,43,0.0,1,42.0%,54.0%,4.0%,3893595,38.0%,Africa,"$7,800,000","$32,000,000",12/1/2004
5.0%,,378,Chad,64,,,"$4,414,929,142",5.1%,$23,,10.2%,0.0,18.0%,48,47,0.0,1,49.2%,48.1%,2.7%,9665024,21.8%,Africa,,,12/1/2004
3.9%,,103,Comoros,,,34,"$362,420,484",4.0%,$25,,7.1%,0.0,11.0%,60,57,0.0,1,41.4%,55.6%,3.0%,585389,27.9%,Africa,"$21,000,000","$9,000,000",12/1/2004
4.6%,,1936,"Congo, Dem. Rep.",133,,19231,"$10,297,481,118",5.4%,$7,,10.8%,0.0,,49,46,0.0,1,46.3%,50.9%,2.8%,52487293,37.0%,Africa,,,12/1/2004
3.9%,,1181,"Congo, Rep.",37,,1020,"$4,648,628,839",2.6%,$34,,6.6%,0.0,18.0%,55,52,0.1,1,42.2%,54.3%,3.5%,3448868,60.5%,Africa,"$23,100,000","$176,000,000",12/1/2004
3.7%,,7664,Cote d'Ivoire,58,,9302,"$15,481,092,596",5.6%,$50,,9.1%,0.0,,48,46,0.1,1,42.3%,54.8%,2.9%,17144325,46.2%,Africa,"$91,000,000","$571,000,000",12/1/2004
2.9%,,458,Djibouti,,,133,"$666,072,102",6.8%,$57,,7.3%,0.0,11.2%,59,56,0.0,1,38.1%,58.6%,3.3%,765776,76.7%,Africa,"$6,800,000","$14,000,000",12/1/2004
2.4%,,150912,"Egypt, Arab Rep.",37,,53536,"$78,845,185,709",5.3%,$57,,2.7%,0.1,13.4%,72,67,0.1,1,33.0%,61.6%,5.4%,70591288,43.0%,Africa,"$6,328,000,000","$1,543,000,000",12/1/2004
3.8%,,5218,Equatorial Guinea,,,762,"$4,410,764,261",2.1%,$191,,8.9%,0.0,18.0%,50,47,0.1,1,41.0%,55.7%,3.3%,585983,38.8%,Africa,,,12/1/2004
4.0%,,770,Eritrea,91,,744,"$1,109,054,002",2.9%,$7,,4.9%,,,60,56,0.0,1,44.0%,54.1%,1.9%,4665522,18.6%,Africa,"$73,000,000",,12/1/2004
4.0%,,5244,Ethiopia,34,,28377,"$9,945,571,030",4.3%,$6,,7.4%,0.0,7.0%,56,55,0.0,1,46.4%,50.5%,3.1%,74066147,15.5%,Africa,"$458,000,000","$59,000,000",12/1/2004
3.3%,,1767,Gabon,,,1629,"$7,178,135,606",3.4%,$180,,5.2%,0.0,18.0%,61,59,0.4,1,39.7%,54.6%,5.7%,1347125,82.8%,Africa,"$74,000,000","$275,000,000",12/1/2004
4.4%,,323,"Gambia, The",,,108,"$578,785,601",4.4%,$18,,5.8%,0.0,36.5%,58,55,0.1,1,46.0%,51.5%,2.6%,1391934,51.5%,Africa,"$51,000,000","$6,000,000",12/1/2004
